v1,v2
ham,I'll text you when I drop x off
ham,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG
ham,Do you think i can move  &lt;#&gt;  in a week
ham,"K, makes sense, btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas"
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
ham,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.
ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
ham,THANX 4 PUTTIN DA FONE DOWN ON ME!!
ham,"My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt..."
ham,Is avatar supposed to have subtoitles
ham,My stomach has been thru so much trauma I swear I just can't eat. I better lose weight.
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
ham,"Sorry, I'll call later"
ham,Lolnice. I went from a fish to ..water.?
ham,Do you like shaking your booty on the dance floor?
ham,"life alle mone,eppolum oru pole allalo"
ham,Dude sux for snake. He got old and raiden got buff
ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... 
ham,Ard 6 like dat lor.
ham,Hi' Test on  &lt;#&gt; rd ....
ham,Today my system sh get ready.all is well and i am also in the deep well
ham,No problem baby. Is this is a good time to talk? I called and left a message.
spam,Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p
ham,In sch but neva mind u eat 1st lor..
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
ham,I didnt get anything da
spam,Bought one ringtone and now getting texts costing 3 pound offering more tones etc
ham,Ya that one is slow as poo
spam,We have new local dates in your area - Lots of new people registered in YOUR AREA. Reply DATE to start now! 18 only www.flirtparty.us REPLYS150
ham,Oh...i asked for fun. Haha...take care. Ì_
ham,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But
ham,"Theoretically yeah, he could be able to come"
spam,You have 1 new message. Please call 08715205273
ham,Did u see what I posted on your Facebook?
ham,"Sorry, I'll call later"
ham,Sorry i'm not free...
ham,"4 tacos + 1 rajas burrito, right?"
ham,Mum ask Ì_ to buy food home...
ham,Msg me when rajini comes.
ham,Remind me how to get there and I shall do so
ham,K.k.this month kotees birthday know?
ham,Ok I'm gonna head up to usf in like fifteen minutes
ham,No just send to you. Bec you in temple na.
ham,Yes there were many sweets
ham,I'll let you know when it kicks in
ham,She's fine. Good to hear from you. How are you my dear? Happy new year oh.
ham,Moji just informed me that you saved our lives. Thanks.
ham,I'm sick !! I'm needy !! I want you !! *pouts* *stomps feet* Where are you ?! *pouts* *stomps feet* I want my slave !! I want him now !!
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ 
ham,Yes we are chatting too.
ham,Dont you have message offer
spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,"Haha get used to driving to usf man, I know a lot of stoners"
ham,I will come tomorrow di
ham,I knew it... U slept v late yest? Wake up so late...
ham,TELL HER I SAID EAT SHIT.
ham,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
ham,Then wat r u doing now? Busy wif work?
ham,On the way to office da..
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p "
ham,Yeah. I got a list with only u and Joanna if I'm feeling really anti social
ham,I'm also came to room.
ham,Good Morning plz call me sir
ham,K.:)do it at evening da:)urgent:)
ham,"Yes, princess. Are you going to make me moan?"
ham,Mm umma ask vava also to come tell him can play later together
ham,Huh but i cant go 2 ur house empty handed right?
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION."
ham,Who u talking about?
spam,SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.
ham,We have all rounder:)so not required:)
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?"
ham,Mystery solved! Just opened my email and he's sent me another batch! Isn't he a sweetie
ham,"Aldrine, rakhesh ex RTM here.pls call.urgent."
ham,Today am going to college so am not able to atten the class.
ham,You still coming tonight?
ham,I reach home safe n sound liao...
spam,Todays Voda numbers ending with 7634 are selected to receive a å£350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed å£1000 cash or å£5000 prize!
ham,Lol enjoy role playing much?
ham,Y lei?
ham,"OH YEAH,AND HAV A GREAT TIME IN NEWQUAY-SEND ME A POSTCARD !1 LOOK AFTER ALL THE GIRLS WHILE IM GONE(U KNOW THE 1IM TALKIN BOUT!)xx"
ham,"He said that he had a right giggle when he saw u again! You would possibly be the first person2die from NVQ, but think how much you could for! "
ham,Yup i'm free...
ham,Wow v v impressed. Have funs shopping!
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.
spam,Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow
ham,"Hmm, too many of them unfortunately... Pics obviously arent hot cakes. Its kinda fun tho"
ham,Yeah like if it goes like it did with my friends imma flip my shit in like half an hour
ham,Yup. Thk of u oso boring wat.
ham,I AM AT A PARTY WITH ALEX NICHOLS
ham,Its worse if if uses half way then stops. Its better for him to complete it.
ham,K k:) sms chat with me.
ham,Lol! Oops sorry! Have fun. 
ham,Already am squatting is the new way of walking
spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
ham,Waiting 4 my tv show 2 start lor... U leh still busy doing ur report?
spam,3. You have received your mobile content. Enjoy
ham,I had a good time too. Its nice to do something a bit different with my weekends for a change. See ya soon
ham,I think the other two still need to get cash but we can def be ready by 9
ham,R u sure they'll understand that! Wine * good idea just had a slurp!
ham,Ill be there on  &lt;#&gt;  ok.
ham,Forgot to tell Ì_ smth.. Can Ì_ like number the sections so that it's clearer..
ham,Then we gotta do it after that
ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
ham,"Hi. Hope ur day * good! Back from walk, table booked for half eight. Let me know when ur coming over."
ham,"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,Ultimately tor motive tui achieve korli.
ham,I wont get concentration dear you know you are my mind and everything :-)
ham,Kent vale lor... ÌÏ wait 4 me there ar?
ham,Hmm ill have to think about it... ok you're forgiven! =D
ham,Sorry. || mail? || 
ham,"I wonder how you got online, my love ? Had you gone to the net cafe ? Did you get your phone recharged ? Were you on a friends net ? I think of you, boytoy"
ham,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date."
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,How are you. Wish you a great semester
spam,"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q="
ham,"Got hella gas money, want to go on a grand nature adventure with galileo in a little bit?"
ham,Ay wana meet on sat?Ì_ wkg on sat?
ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u.."
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,"Oops, I'll let you know when my roommate's done"
ham,Ok. I only ask abt e movie. U wan ktv oso?
ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
ham,Then cant get da laptop? My matric card wif Ì_ lei... 
ham,Gud mrng dear hav a nice day
ham,I will be gentle baby! Soon you will be taking all  &lt;#&gt;  inches deep inside your tight pussy...
ham,"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."""
ham,Only 2% students solved this CAT question in 'xam... 5+3+2= &lt;#&gt;  9+2+4= &lt;#&gt;  8+6+3= &lt;#&gt;  then 7+2+5=????? Tell me the answer if u r brilliant...1thing.i got d answr.
ham,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?"
ham,I dont thnk its a wrong calling between us
ham,Yeah I can still give you a ride
ham,What was she looking for?
ham,I ask if u meeting da ge tmr nite...
ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
ham,Lmao!nice 1
ham,Please tell me not all of my car keys are in your purse
ham,Hey they r not watching movie tonight so i'll prob b home early...
ham,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
ham,Did u find a sitter for kaitlyn? I was sick and slept all day yesterday.
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?"
ham,Am i that much bad to avoid like this?
ham,I can ask around but there's not a lot in terms of mids up here
ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
ham,"I'm in a meeting, call me later at"
ham,on a Tuesday night r u 4 real
ham,Ok... Take ur time n enjoy ur dinner...
ham,Well i will watch shrek in 3D!!B)
ham,* You gonna ring this weekend or wot?
ham,I am literally in bed and have been up for like  &lt;#&gt;  hours
ham,What r u cooking me for dinner?
ham,He's in lag. That's just the sad part but we keep in touch thanks to skype
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl"
ham,K ill drink.pa then what doing. I need srs model pls send it to my mail id pa.
ham,Hey come online! Use msn... We are all there
ham,Good morning pookie pie! Lol hope I didn't wake u up
ham,Y dun cut too short leh. U dun like ah? She failed. She's quite sad.
ham,Hello boytoy ! Geeee ... I'm missing you today. I like to send you a tm and remind you I'm thinking of you ... And you are loved ... *loving kiss*
ham,Congrats kano..whr s the treat maga?
ham,"Sorry, I'll call later"
ham,"They said if its gonna snow, it will start around 8 or 9 pm tonite! They are predicting an inch of accumulation."
ham,"Me not waking up until 4 in the afternoon, sup"
ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,There r many model..sony ericson also der.. &lt;#&gt; ..it luks good bt i forgot modl no
ham,If you are not coughing then its nothing
ham,New car and house for my parents.:)i have only new job in hand:)
ham,Guess he wants alone time. We could just show up and watch when they do..
ham,No that just means you have a fat head
ham,Boo I'm on my way to my moms. She's making tortilla soup. Yummmm
ham,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
ham,You unbelievable faglord
ham,Cos i was out shopping wif darren jus now n i called him 2 ask wat present he wan lor. Then he started guessing who i was wif n he finally guessed darren lor.
spam,WIN URGENT! Your mobile number has been awarded with a å£2000 prize GUARANTEED call 09061790121 from land line. claim 3030 valid 12hrs only 150ppm 
ham,This pay is  &lt;DECIMAL&gt;  lakhs:)
ham,Not a lot has happened here. Feels very quiet. Beth is at her aunts and charlie is working lots. Just me and helen in at the mo. How have you been? 
ham,:-) yeah! Lol. Luckily i didn't have a starring role like you!
ham,He remains a bro amongst bros
ham,Ya:)going for restaurant..
ham,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
ham,Do you know where my lab goggles went
ham,No de.am seeing in online shop so that i asked.
ham,Sat right? Okay thanks... 
ham,Was actually about to send you a reminder today. Have a wonderful weekend
ham,"Sure, whenever you show the fuck up &gt;:("
spam,A å£400 XMAS REWARD IS WAITING FOR YOU! Our computer has randomly picked you from our loyal mobile customers to receive a å£400 reward. Just call 09066380611
spam,Valentines Day Special! Win over å£1000 in our quiz and take your partner on the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201
spam,"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
ham,Detroit. The home of snow. Enjoy it.
ham,"I'd say that's a good sign but, well, you know my track record at reading women"
ham,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
ham,"Superb Thought- \Be grateful that u dont have everything u want. That means u still have an opportunity to be happier tomorrow than u are today.\"":-)"""
ham,No da. . Vijay going to talk in jaya tv
ham,"Haha, just what I was thinkin"
ham,LOL that would be awesome payback.
ham,Cool. So how come you havent been wined and dined before?
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!"
ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
spam,"Free entry to the gr8prizes wkly comp 4 a chance to win the latest Nokia 8800, PSP or å£250 cash every wk.TXT GREAT to 80878 http//www.gr8prizes.com 08715705022"
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,Dear got bus directly to calicut
ham,Kallis wont bat in 2nd innings.
ham,Thnx dude. u guys out 2nite?
ham,Your daily text from me ÛÒ a favour this time
spam,"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"""
ham,"Nothing, i got msg frm tht unknown no.."
ham,Yes baby! We can study all the positions of the kama sutra ;)
ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
spam,You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP
ham,"Uncle G, just checking up on you. Do have a rewarding month"
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094455 from land line. Claim 3030. Valid 12hrs only
ham,Ugh I don't wanna get out of bed. It's so warm.
ham,Also maaaan are you missing out
ham,I was at bugis juz now wat... But now i'm walking home oredi... ÌÏ so late then reply... I oso saw a top dat i like but din buy... Where r Ì_ now? 
ham,Ok. So april. Cant wait
ham,Hey mr whats the name of that bill brison book the one about language and words 
ham,Hi its me you are probably having too much fun to get this message but i thought id txt u cos im bored! and james has been farting at me all night
ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
ham,Thank you baby! I cant wait to taste the real thing...
ham,Smith waste da.i wanna gayle.
ham,No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...
ham,He dint tell anything. He is angry on me that why you told to abi.
ham,Dnt worry...use ice pieces in a cloth pack.also take 2 tablets.
ham,Just finished eating. Got u a plate. NOT leftovers this time.
spam,FreeMsg: Fancy a flirt? Reply DATE now & join the UKs fastest growing mobile dating service. Msgs rcvd just 25p to optout txt stop to 83021. Reply DATE now!
spam,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..
ham,"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta."
ham,Leaving to qatar tonite in search of an opportunity.all went fast.pls add me in ur prayers dear.Rakhesh
ham,Was doing my test earlier. I appreciate you. Will call you tomorrow.
ham,"Well, I was about to give up cos they all said no they didnÛ÷t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?"
ham,No screaming means shouting..
ham,Oi when you gonna ring
ham,By monday next week. Give me the full gist
ham,Thanx...
ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
ham,I cant pick the phone right now. Pls send a message
ham,Loosu go to hospital. De dont let it careless.
spam,"Gr8 Poly tones 4 ALL mobs direct 2u rply with POLY TITLE to 8007 eg POLY BREATHE1 Titles: CRAZYIN, SLEEPINGWITH, FINEST, YMCA :getzed.co.uk POBox365O4W45WQ 300p"
ham,I'm already back home so no probably not
ham,I'm in office now da:)where are you?
ham,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
ham,Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... "
ham,Ok but tell me half an hr b4 u come i need 2 prepare.
ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
ham,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
ham,Your brother is a genius
ham,"K will do, addie &amp; I are doing some art so I'll be here when you get home"
ham,"Japanese Proverb: If one Can do it, U too Can do it, If none Can do it,U must do it Indian version: If one Can do it, LET HIM DO it.. If none Can do it,LEAVE it!! And finally Kerala version: If one can do it, Stop him doing it.. If none can do it, Make a strike against it ..."
ham,"Aight, text me tonight and we'll see what's up"
ham,"Not yet chikku..going to room nw, i'm in bus.."
ham,How are you with moneY...as in to you...money aint a thing....how are you sha!
ham,Nobody can decide where to eat and dad wants Chinese
ham,It's justbeen overa week since we broke up and already our brains are going to mush!
ham,I am waiting machan. Call me once you free.
ham,K..k:)where are you?how did you performed?
ham,at bruce b downs &amp; fletcher now
ham,No..but heard abt tat..
ham,I love to cuddle! I want to hold you in my strong arms right now...
spam,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
ham,would u fuckin believe it they didnt know i had thurs pre booked off so they re cancelled me AGAIN! that needs to b sacked
ham,Still chance there. If you search hard you will get it..let have a try :)
ham,Hope you are having a good week. Just checking in
ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
ham,If we win its really no 1 side for long time.
spam,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468
ham,Yeah but which is worse for i
ham,Yes fine 
ham,What happen dear. Why you silent. I am tensed
ham,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
spam,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.
ham,If i said anything wrong sorry de:-)
ham," says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX
ham,"Just arrived, see you in a couple days &lt;3"
ham,Yup i thk so until e shop closes lor.
ham,"Yeah, where's your class at?"
ham,i cant talk to you now.i will call when i can.dont keep calling.
ham,hows my favourite person today? r u workin hard? couldn't sleep again last nite nearly rang u at 4.30
ham,Ok... Help me ask if she's working tmr a not?
ham,"Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*"
ham,"Aight, let me know when you're gonna be around usf"
ham,Sweet heart how are you?
ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
ham,ÌÏ still got lessons?  ÌÏ in sch?
ham,As usual u can call me ard 10 smth.
ham,I need you to be in my strong arms...
ham,Apart from the one i told you about yesterday?
ham,And how's your husband.
ham,Heehee that was so funny tho
ham,"Hurry up, I've been weed-deficient for like three days"
ham,"Aight, lemme know what's up"
ham,How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day
spam,Phony å£350 award - Todays Voda numbers ending XXXX are selected to receive a å£350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b
spam,ringtoneking 84484
ham,So Ì_'ll be submitting da project tmr rite?
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?
ham,"Some friends want me to drive em someplace, probably take a while"
ham,"That's fine, have him give me a call if he knows what he wants or has any questions"
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,"Sorry, I'll call later"
ham,"I'll text carlos and let you know, hang on"
ham,Ok i wont call or disturb any one. I know all are avoiding me. I am a burden for all
ham,Shall i start from hear.
ham,Eh den sat u book e kb liao huh...
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
ham,"The guy at the car shop who was flirting with me got my phone number from the paperwork and called and texted me. I'm nervous because of course now he may have my address. Should i call his boss and tell him, knowing this may get him fired?"
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+"
ham,"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\"""""
spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
spam,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW
ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
ham,hiya hows it going in sunny africa? hope u r avin a good time. give that big old silver back a big kiss from me.
ham,I am 6 ft. We will be a good combination!
ham,"\Are you comingdown later?\"""""
ham,"Aight, tomorrow around  &lt;#&gt;  it is"
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088"
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham,Hahaha..use your brain dear
ham,How dare you stupid. I wont tell anything to you. Hear after i wont talk to you:-.
ham,Ok i also wan 2 watch e 9 pm show...
ham,Many times we lose our best ones bcoz we are 
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,Yup but not studying surfing lor. I'm in e lazy mode today.
ham,Gibbs unsold.mike hussey
ham,Check mail.i have mailed varma and kept copy to you regarding membership.take care.insha allah.
ham,"Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
ham,"Yun ah.the ubi one say if Ì_ wan call by tomorrow.call 67441233 look for irene.ere only got bus8,22,65,61,66,382. Ubi cres,ubi tech park.6ph for 1st 5wkg days.Ì¬n"
ham,Aiyah u did ok already lar. E nydc at wheellock?
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X."
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ..."
ham,"Alright, we're all set here, text the man"
spam,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087123002209am-7pm. Cost 10p
ham,Thank You meet you monday
ham,Hurry home u big butt. Hang up on your last caller if u have to. Food is done and I'm starving. Don't ask what I cooked.
ham,Annoying isn't it.
spam,"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins"
ham,Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel: Jsut ese tihs msg.. Evrey splleing of tihs msg is wrnog.. Bt sitll yuo can raed it wihtuot ayn mitsake.. GOODNIGHT &amp; HAVE A NICE SLEEP..SWEET DREAMS..
ham,"Could you not read me, my Love ? I answered you"
spam,"Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
ham,You want to go? 
ham,"Dear, take care. I am just reaching home.love u a lot."
ham,At the funeral home with Audrey and dad
ham,"Dear relieved of westonzoyland, all going to plan this end too!"
ham,Yup... From what i remb... I think should be can book... 
ham,Dude avatar 3d was imp. At one point i thought there were actually flies in the room and almost tried hittng one as a reflex
ham,Lol ok your forgiven :)
ham,Hey check it da. I have listed da.
spam,"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16"
ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
ham,Thank u!
ham,They have a thread on the wishlist section of the forums where ppl post nitro requests. Start from the last page and collect from the bottom up.
ham,I will see in half an hour
ham,You still at grand prix?
ham,No plans yet. What are you doing ?
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
ham,3 pa but not selected.
ham,S:)8 min to go for lunch:)
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks"
ham,Now i'm going for lunch.
ham,You best watch what you say cause I get drunk as a motherfucker
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,I agree. So i can stop thinkin about ipad. Can you please ask macho the same question.
ham,Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
ham,First has she gained more than  &lt;#&gt; kg since she took in. Second has she done the blood sugar tests. If she has and its ok and her blood pressure is within normal limits then no worries
ham,Ok Chinese food on its way. When I get fat you're paying for my lipo.
ham,Eh u send wrongly lar...
